epoch,loss,mean_q,mean_reward,lr,q_std
38,0.04910474655993189,1.8461152817302,0.8492645862469762,3.75e-05,4.003578324731338
39,0.04733982410505019,1.8392980116475584,0.8457860343517584,3.75e-05,3.9980009099176432
40,0.04646542096204814,1.8208939077679012,0.8399961331155346,3.75e-05,3.9931631642094834
41,0.045954575888198644,1.8385122782895298,0.8806933115956371,3.75e-05,4.005834282194045
42,0.044466289049378105,1.8374255044345111,0.867031392643831,3.75e-05,4.0204790537914326
43,0.042567707595127575,1.8334778867597852,0.8654178722270331,3.75e-05,4.033417855565079
44,0.04110554575643975,1.8080216189396452,0.8534381083612812,3.75e-05,4.018828934979392
45,0.041426509458196925,1.8321401189290318,0.8709214152563314,3.75e-05,4.034305622686541
46,0.04006816275340143,1.8104211479169023,0.8758613744400525,3.75e-05,4.039373166982422
47,0.03882669022708668,1.797369330549461,0.8691640766010842,3.75e-05,4.026368135020561
48,0.03828014586303287,1.7804330451688886,0.8621530172850845,3.75e-05,4.02192065228223
49,0.03711097182682577,1.7924313816623447,0.8786083409238501,3.75e-05,4.037751859264765
50,0.03655016578057156,1.8053918441031485,0.8529002536975789,3.75e-05,4.04643000095274
51,0.03508415625062059,1.7974362735871365,0.8449896816953198,3.75e-05,4.045039129130971
52,0.03448292123992674,1.7935943275709803,0.856970504740491,3.75e-05,4.033087291124244
53,0.03299456758996007,1.7716610662042502,0.852442375348214,3.75e-05,4.035979087584702
54,0.03196480843558424,1.766874483923972,0.8468838292750339,3.75e-05,4.042327357947944
55,0.0311647397077696,1.758486555121262,0.8461911004649328,3.75e-05,4.042455827061661
56,0.030734512547227047,1.7792326576026523,0.8620511588830351,3.75e-05,4.05190754567922
57,0.03019265335639982,1.7823337765421636,0.8700228613886974,3.75e-05,4.059884930666829
58,0.029041652534940433,1.7686615455710755,0.8526518051145804,3.75e-05,4.0661667390504
59,0.028708109033339018,1.7619765084914858,0.8612447106042134,3.75e-05,4.058411621400491
60,0.027991058320623114,1.7813951355743534,0.8649580367217685,3.75e-05,4.073463281206072
61,0.02763860954274069,1.7468378831029017,0.8701648117298252,3.75e-05,4.064442457701496
62,0.026867014297210532,1.7395389840588673,0.8678082371738318,3.75e-05,4.055936471268801
63,0.026327848973302485,1.7494193496962875,0.8572029736229545,3.75e-05,4.062545449429202
64,0.025506712890289905,1.7514535741329509,0.8526248398497651,3.75e-05,4.06811846462328
65,0.024625718317005087,1.769412456956784,0.8457643223962173,3.75e-05,4.086644433808595
66,0.02407026740529437,1.751120257898327,0.8546293047081105,3.75e-05,4.082254652153333
67,0.02388124452216007,1.760713078776864,0.8563898517679323,3.75e-05,4.086352523157409
68,0.0225566103168431,1.7352629520102576,0.8363337394757373,3.75e-05,4.08504087651983
69,0.023020844253995545,1.7377308608679327,0.8680487413133151,3.75e-05,4.089044598062491
70,0.02184102056402538,1.7135839569970994,0.8357467866884231,3.75e-05,4.083502302889316
71,0.021584280765391047,1.70509290714914,0.8321792243947204,3.75e-05,4.0894220779464385
72,0.02101802070730524,1.7055536737353656,0.8524195201917472,3.75e-05,4.086439425703865
73,0.020804851376241988,1.7090131187186504,0.8646663338421153,3.75e-05,4.083075767475433
74,0.02005817934885821,1.728823899118258,0.8423628362951509,3.75e-05,4.093657245547624
75,0.01972708808215647,1.7080780040105394,0.848098218543942,3.75e-05,4.099354709875182
76,0.01920602071977453,1.689809084806436,0.8376269412540087,3.75e-05,4.080823022273106
77,0.01854996925180138,1.7049879618309571,0.8252469050042481,3.75e-05,4.10090078935175
78,0.018166476783289035,1.6802926325466678,0.8558139080720418,3.75e-05,4.101081363575732
79,0.018067103191280416,1.698681889662752,0.8478094014055007,3.75e-05,4.109433130741435
80,0.01776712628350791,1.6876235348471422,0.8337101860811366,3.75e-05,4.098787040129787
81,0.017191736070204387,1.7002903722241411,0.8521860242235116,3.75e-05,4.105903572471311
82,0.016926206956376536,1.6674286139713543,0.84615560294598,3.75e-05,4.101312486798775
83,0.016403852304106875,1.6661154105914184,0.8477557811338743,3.75e-05,4.103111907080417
84,0.01597143304702215,1.6473369148691153,0.8466422241698879,3.75e-05,4.092486524802813
85,0.015821501682119533,1.6472411258263275,0.8471642610580616,3.75e-05,4.092102189793009
86,0.01542143883170655,1.6576879276375673,0.8335200825682703,3.75e-05,4.110816767482391
87,0.015060480195536782,1.6442085332345047,0.8280926090261445,3.75e-05,4.106534225746624
88,0.015096324502789705,1.6541994208535322,0.8404411319088534,3.75e-05,4.10116968795529
89,0.014544598448884128,1.634376109888978,0.856380795018623,3.75e-05,4.094692714951198
90,0.013776185460438586,1.6484983735018262,0.8272977101398986,3.75e-05,4.10382885273366
91,0.013950287031819076,1.6261880823036916,0.8432578620409025,3.75e-05,4.101374304744284
92,0.013414366804306783,1.6089153304982076,0.8321400822277725,3.75e-05,4.085153417820807
93,0.013264586625058755,1.6343869695317894,0.8232582417368509,3.75e-05,4.102810903703196
94,0.01288215840885383,1.604913853242017,0.8204312584745684,3.75e-05,4.10718352395442
95,0.012933415687882756,1.5982877074646524,0.8323494417637262,3.75e-05,4.113370118119084
96,0.012424529412806633,1.614039222090391,0.8234794397829477,3.75e-05,4.118736236636644
97,0.012297833112618116,1.6003567694947074,0.8110954436700986,3.75e-05,4.104420082526519
98,0.011765353251889614,1.596153445665131,0.8223875497654574,3.75e-05,4.10703458034937
99,0.012005894173317743,1.6014164224079632,0.8188486452307491,3.75e-05,4.1173097262076395
100,0.011494886298399802,1.586071733841432,0.8169289541096086,3.75e-05,4.126646129758369
