epoch,loss,mean_q,mean_reward,lr,q_std
1,0.05101563600566877,0.2121614497928485,0.2126031647971631,0.0003,0.6055597196463163
2,0.09780870718064193,0.6532624577308317,0.5701403194751213,0.0003,1.4628927905302345
3,0.11630085002061431,0.9630988780865205,0.6982509064057276,0.0003,2.152391937377041
4,0.12441593723791984,1.200405086767271,0.7446924247344417,0.0003,2.6351943628272028
5,0.1228848137688767,1.366663890907419,0.7211479999761089,0.0003,2.9694114043805713
6,0.1191640751501687,1.5096973473468733,0.7268777630805925,0.0003,3.2258204930985235
7,0.11713256091643728,1.6087835328141875,0.7355010653964615,0.0003,3.39560767753798
8,0.1144013815034923,1.6710131081581747,0.7321316505789086,0.0003,3.52652039486868
9,0.11254737253869747,1.7211505871667994,0.7486022783019275,0.0003,3.620923783114854
10,0.11028925081669377,1.7549277818179305,0.7635430213425143,0.0003,3.6898098470042826
11,0.10722704964469869,1.8180439919726412,0.7737012771022963,0.0003,3.7616081223591995
12,0.1035863061926761,1.825372072184504,0.7900410856260203,0.0003,3.7989551973690032
13,0.09842318966171151,1.827840587384333,0.7694515589560542,0.00015,3.8201115828803798
14,0.09797873452039525,1.8300967317081933,0.7964724411788532,0.00015,3.8360087683783077
15,0.09418314623737044,1.8619812744331234,0.7917188336820946,0.00015,3.856322138929588
16,0.09091022881370439,1.887042325983609,0.8051500233848075,0.00015,3.875347751406626
17,0.08808867873169092,1.896780582905447,0.778302295454596,0.00015,3.8949287139683033
18,0.08746999293420289,1.9028049837982788,0.8190615607042193,0.00015,3.9047414227718553
19,0.08416077658388589,1.9228071330163274,0.7982523773114544,0.00015,3.916718564705688
20,0.08170838751426443,1.9008269476859005,0.8285267402748944,0.00015,3.9316482340398013
21,0.08080714744713569,1.8979315292669559,0.8195732231914484,0.00015,3.9248029362042955
22,0.07776559481100184,1.9049400280123117,0.8186402985139508,0.00015,3.941153750997123
23,0.07511070829493806,1.8944723970995763,0.8320231041276223,0.00015,3.9467563567612833
24,0.07459037920212327,1.8973262017330217,0.8577973201764904,7.5e-05,3.959906686149158
25,0.07038325704153428,1.9002177968946692,0.8339461291277895,7.5e-05,3.958590968723411
26,0.06772609142873813,1.8930939999658647,0.8376822262955552,7.5e-05,3.961913133756283
27,0.066029823572553,1.8986094339962118,0.8293504793773832,7.5e-05,3.9662860574349907
28,0.06550778395081497,1.8909132579239214,0.8510493273907825,7.5e-05,3.9709434099026977
29,0.0627375401406716,1.8658675612163103,0.8482309339668486,7.5e-05,3.9699374288221922
30,0.061821465779892226,1.8849264069711191,0.838047381700032,7.5e-05,3.985634842587969
31,0.05978206825435832,1.8631407092692125,0.8406503803394414,7.5e-05,3.9781334311815386
32,0.05753195248322326,1.8542565187817768,0.8461208935958918,7.5e-05,3.975647420618094
33,0.05533687433709891,1.8540332744564938,0.8439759099005439,7.5e-05,3.993568242424612
34,0.05598096382415291,1.87110888283431,0.8470500040763014,7.5e-05,3.993718939849985
35,0.05327437450637157,1.8617265848905182,0.8498291201047565,3.75e-05,3.992224932821439
36,0.05155753053682853,1.8387024917403725,0.858876579273942,3.75e-05,3.981728857041668
37,0.05102461288559228,1.8543422451325398,0.8607404060220478,3.75e-05,3.9874951336101376
